Districts,Sub group,Value
Kanchanpur,Total Population,483797
Kanchanpur,Water Coverage Supply (%),82.17
Kanchanpur,Sanitation Coverage (%,33.85
Kapivastu,Total Population,590298
Kapivastu,Water Coverage Supply (%),81.01
Kapivastu,Sanitation Coverage (%,21.78
Kaski,Total Population,466379
Kaski,Water Coverage Supply (%),92.23
Kaski,Sanitation Coverage (%,87.47
Kathmandu,Total Population,1432290
Kathmandu,Water Coverage Supply (%),93.2
Kathmandu,Sanitation Coverage (%,93.77
Kavrepalanchowk,Total Population,457184
Kavrepalanchowk,Water Coverage Supply (%),81.69
Kavrepalanchowk,Sanitation Coverage (%,71.2
Khotang,Total Population,264074
Khotang,Water Coverage Supply (%),75.97
Khotang,Sanitation Coverage (%,18.14
Lalitpur,Total Population,415581
Lalitpur,Water Coverage Supply (%),89.33
Lalitpur,Sanitation Coverage (%,83.69
Lamjung,Total Population,207677
Lamjung,Water Coverage Supply (%),89.2
Lamjung,Sanitation Coverage (%,56.19
Mahottari,Total Population,669940
Mahottari,Water Coverage Supply (%),77.69
Mahottari,Sanitation Coverage (%,17.11
Makwanpur,Total Population,473861
Makwanpur,Water Coverage Supply (%),72.12
Makwanpur,Sanitation Coverage (%,48.05
Manang,Total Population,13216
Manang,Water Coverage Supply (%),96.08
Manang,Sanitation Coverage (%,45.59
Morang,Total Population,1019083
Morang,Water Coverage Supply (%),85.76
Morang,Sanitation Coverage (%,46.49
Mugu,Total Population,52241
Mugu,Water Coverage Supply (%),81.26
Mugu,Sanitation Coverage (%,24.38
Nawalparasi,Total Population,688166
Nawalparasi,Water Coverage Supply (%),83.95
Nawalparasi,Sanitation Coverage (%,47.57
Nuwakot,Total Population,340579
Nuwakot,Water Coverage Supply (%),77.92
Nuwakot,Sanitation Coverage (%,31.15
Okhaldhungha,Total Population,182044
Okhaldhungha,Water Coverage Supply (%),82.4
Okhaldhungha,Sanitation Coverage (%,52.2
Panchthar,Total Population,237020
Panchthar,Water Coverage Supply (%),68.12
Panchthar,Sanitation Coverage (%,62.9
Parbat,Total Population,181795
Parbat,Water Coverage Supply (%),88.03
Parbat,Sanitation Coverage (%,75.35
Parsa,Total Population,615232
Parsa,Water Coverage Supply (%),80.17
Parsa,Sanitation Coverage (%,25.49
Pyuthan,Total Population,253881
Pyuthan,Water Coverage Supply (%),88.77
Pyuthan,Sanitation Coverage (%,21.03
Ramechhap,Total Population,246989
Ramechhap,Water Coverage Supply (%),79.05
Ramechhap,Sanitation Coverage (%,31.27
Rasuwa,Total Population,53494
Rasuwa,Water Coverage Supply (%),89.44
Rasuwa,Sanitation Coverage (%,41.89
Rautahat,Total Population,671223
Rautahat,Water Coverage Supply (%),73.8
Rautahat,Sanitation Coverage (%,17.58
Rolpa,Total Population,245725
Rolpa,Water Coverage Supply (%),76.2
Rolpa,Sanitation Coverage (%,20.41
Rukum,Total Population,224334
Rukum,Water Coverage Supply (%),79.05
Rukum,Sanitation Coverage (%,20.32
Rupandehi,Total Population,882367
Rupandehi,Water Coverage Supply (%),91.81
Rupandehi,Sanitation Coverage (%,48.74
Salyan,Total Population,250372
Salyan,Water Coverage Supply (%),57.34
Salyan,Sanitation Coverage (%,16.37
Sankhuwasabha,Total Population,184845
Sankhuwasabha,Water Coverage Supply (%),80.27
Sankhuwasabha,Sanitation Coverage (%,53.39
Saptari,Total Population,684101
Saptari,Water Coverage Supply (%),72.31
Saptari,Sanitation Coverage (%,19.01
Sarlahi,Total Population,776694
Sarlahi,Water Coverage Supply (%),81.25
Sarlahi,Sanitation Coverage (%,17.47
Sindhuli,Total Population,337913
Sindhuli,Water Coverage Supply (%),61.77
Sindhuli,Sanitation Coverage (%,21.01
Sindhupalchowk,Total Population,360587
Sindhupalchowk,Water Coverage Supply (%),80.93
Sindhupalchowk,Sanitation Coverage (%,33.85
Siraha,Total Population,690306
Siraha,Water Coverage Supply (%),72.03
Siraha,Sanitation Coverage (%,18.47
Solukhumbu,Total Population,124447
Solukhumbu,Water Coverage Supply (%),77
Solukhumbu,Sanitation Coverage (%,39.64
Sunsari,Total Population,778061
Sunsari,Water Coverage Supply (%),77.51
Sunsari,Sanitation Coverage (%,51.33
Surkhet,Total Population,352516
Surkhet,Water Coverage Supply (%),77.48
Surkhet,Sanitation Coverage (%,36.53
Syangja,Total Population,363205
Syangja,Water Coverage Supply (%),78.51
Syangja,Sanitation Coverage (%,68.4
Tanahu,Total Population,372329
Tanahu,Water Coverage Supply (%),82.44
Tanahu,Sanitation Coverage (%,56.63
Taplejung,Total Population,156398
Taplejung,Water Coverage Supply (%),71.31
Taplejung,Sanitation Coverage (%,53.82
Tehrathum,Total Population,130346
Tehrathum,Water Coverage Supply (%),90.79
Tehrathum,Sanitation Coverage (%,58.13
Udayapur,Total Population,352855
Udayapur,Water Coverage Supply (%),64.18
Udayapur,Sanitation Coverage (%,25.7
